2018-07-21 12:53:04.834232,5c98108d420a4d94ac7e8289c6fb668d,65.528,66.6
2018-07-21 13:08:04.956211,7cd7b8ef19d846cf9d79920f50458143,62.838,63.4
2018-07-21 13:23:05.086498,d3d4994e187c44c296f75d9fbadb7111,54.768,53.7
2018-07-21 13:38:05.147292,16198b2afd92452689fb2346eb3f9137,68.756,68.8
2018-07-21 13:53:05.328662,fc4460153992409f9632a22e4152f8b3,58.534,59.1
2018-07-21 14:08:05.500809,a5782e17e28b4e70b2419d7a8167ffa2,65.528,65.5
2018-07-21 14:23:05.632363,4de39d25ad494b0199890a41456e3a70,64.452,64.5
2018-07-21 14:38:05.792741,5ed34b85c77949e3993b76684ab6cd13,54.768,55.3
2018-07-21 14:53:05.936478,834a40420c2e49c3b25d70460d457ca1,62.3,62.3
2018-07-21 15:08:06.000479,b9a7e55f1e77435dbe49c326a27656e3,64.452,64.5
2018-07-21 15:23:06.077532,1adaf0114df248389a6a7844e2106dd6,64.452,64.5
2018-07-21 15:38:06.146462,ea7d500fc1d64ac789dbe3c41c131185,55.306,55.3
2018-07-21 15:53:06.199373,7c114433cac64a33b561534f4c0d5e18,57.996,58.5
2018-07-21 16:08:06.328772,f031aaa34c5e41a39516341368e73855,60.148,60.1
2018-07-21 16:23:06.507406,b0fba2a0f4a9462c8d9822079b911b15,60.148,60.1
2018-07-21 16:38:06.634584,4bc937e8ad8a4c24bbf0a8b875c52806,61.224,61.8
2018-07-21 16:53:06.679219,1813c73277da488b9f03384a233d7bdb,62.3,61.8
2018-07-21 17:08:06.818808,b88700eb9dde4d00a7ee260101709bea,82.744,82.2
2018-07-21 17:23:07.077960,bac9f4c62ea44e50905d2cef97f4da10,56.382,56.4
2018-07-21 17:45:12.072700,899967ad3d7a469981de61773d5c5bd2,54.768,54.8
2018-07-21 18:16:57.289768,91c0738e98a94f56868538d367af6bf5,0010,54.23,54.8
